OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
1,Science & Nature,Medium,Multiple Choice,"Along with Oxygen, which element is primarily responsible for the sky appearing blue?",Nitrogen,Helium,Carbon,Hydrogen
2,Geography,Medium,Multiple Choice,How many provinces are in the Netherlands?,12,14,10,13
3,Geography,Hard,Multiple Choice,Santorini is an island belonging to what European Country?,Greece,Italy,Spain,
4,Entertainment: Video Games,Medium,True / False,"The scrapped Sonic the Hedgehog 2 level ""Hidden Palace Zone"" was later reused in the iOS port of the game. ",True,False,,
5,Entertainment: Video Games,Medium,Multiple Choice,Which genre is the Touhou Project associated with?,Shoot 'em up (bullet-hell) & Fighting,Turn-Based Strategy,MMORPG,Building 
6,Entertainment: Music,Easy,Multiple Choice,Which of these is the name of a song by Tears for Fears?,Shout,Scream,Yell,Shriek
7,Art,Hard,True / False,Ancient Greek and Roman sculptors often colored their statues.,True,False,,
8,Sports,Medium,Multiple Choice,Which football manager won more trophies than any other during his tenure at English football club Manchester United?,Sir Alex Ferguson,David Moyes,Louis van Gaal,José Mourinho
9,Geography,Medium,Multiple Choice,"Colchester Overpass, otherwise known as ""Bunny Man Bridge"", is located where?","Fairfax County, Virginia","Medford, Oregon","Braxton County, Virgina","Lemon Grove, California"
10,Science: Computers,Easy,Multiple Choice,What amount of bits commonly equals one byte?,8,1,2,64
11,Science & Nature,Hard,Multiple Choice,How many types of quarks are there in the standard model of physics?,6,2,3,4
12,Geography,Easy,Multiple Choice,"Which of these African countries list ""Spanish"" as an official language?",Equatorial Guinea,Guinea,Cameroon,Angola
13,Entertainment: Board Games,Hard,Multiple Choice,"In Magic: The Gathering, what was a tribute card to Jamie Wakefield's late wife Marilyn, who loved horses?",Timbermare,Loyal Pegasus,Vryn Wingmare,Sungrace Pegasus
14,History,Medium,True / False,Augustus was the cousin of Julius Caesar. ,False,True,,
15,Entertainment: Video Games,Medium,Multiple Choice,"In the ""S.T.A.L.K.E.R."" series, which of these items can't be used to lower the player's accumulated radiation?",Radioprotectant,Anti-rad,Medkit,Vodka
16,Entertainment: Music,Medium,True / False,EDM label Monstercat signs tracks instead of artists.,True,False,,
17,Science & Nature,Medium,Multiple Choice,The human right lung has how many lobes?,3,4,2,1
18,Entertainment: Music,Medium,True / False,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",True,False,,
19,Entertainment: Video Games,Easy,Multiple Choice,"What is the Alien Race in the game ""Lego Racers 2"" known as?",Ramas,Slizers,Roboriders,Turagas
20,History,Medium,Multiple Choice,How many years did the Hundred Years' War last?,116,100,90,101
21,General Knowledge,Easy,Multiple Choice,"If you are traveling at a speed of 80 mph, how long will it take you to drive 80 miles?",60 minutes,90 minutes,30 minutes,50 minutes
22,Entertainment: Books,Medium,Multiple Choice,What is the name of the author of book series 'Percy Jackson'?,Rick Riordan,J.K. Rowling,Sandra Bullock ,Roald Dahl
23,Entertainment: Film,Hard,Multiple Choice,Which was the first of Alfred Hitchcock's movies to be filmed in colour?,Rope,Psycho,Vertigo,Rebecca
24,General Knowledge,Medium,Multiple Choice,"The lesser-known continuation of the saying ""Curiosity killed the cat..."" is:","""...but satisfaction brought it back.""","""...and the silent mouse remained thereat.""","""...which taught it not to do that.""","""...but death by the truth is better than ignorance."""
25,Entertainment: Video Games,Hard,Multiple Choice,"In the book & video game Metro 2033, which Moscow Metro station is the main character Artyom's home station?",VDNKh,Prospekt Mira,Kitay-Gorod,Botanichesky Sad
26,Entertainment: Film,Medium,Multiple Choice,"What is the name of the character Nicolas Cage plays in the movie ""National Treasure?""",Benjamin Franklin Gates,Thomas Jefferson Walker,George Washington Swanson,John Quincy Beckett
27,Entertainment: Video Games,Easy,Multiple Choice,Which of 2 Valve Games are set in the same universe?,Half-life and Portal,Portal and Left 4 Dead,Half-life and Left 4 Dead,Half-life and Counter Strike
28,Politics,Hard,Multiple Choice,Which major bank's collapse was notable as one of the causes of the Financal Crisis of 2008?,Lehman Brothers,HSBC,Barclays,Lloyds
29,Science & Nature,Hard,Multiple Choice,"""The Big Bang Theory"" was first theorized by a priest of what religious ideology?",Catholic,Christian,Jewish,Islamic
30,Entertainment: Video Games,Easy,Multiple Choice,What color is the iconic arcade character Q*Bert?,Orange,Blue,Green,Brown
31,Entertainment: Video Games,Medium,Multiple Choice,"In ""Warhammer: End Times - Vermintide"", what is the name of the rat faction you fight in the game?",Skaven,Ratmen,The Horde,Chaos
32,Mythology,Easy,Multiple Choice,What mytological creatures have women's faces and vultures' bodies?,Harpies,Mermaids,Nymph,Lilith
33,Science & Nature,Medium,Multiple Choice,What is radiation measured in?,Gray ,Watt,Decibel,Kelvin
34,General Knowledge,Easy,Multiple Choice,What is the first book of the Old Testament?,Genesis,Exodus,Leviticus,Numbers
35,Entertainment: Japanese Anime & Manga,Easy,Multiple Choice,What is Gatomon's name in the original Japanese version of Digimon Adventure?,Tailmon,Pawmon,Catmon,Nekomon
36,Science & Nature,Easy,Multiple Choice,How many planets are in our Solar System?,Eight,Nine,Seven,Ten
37,Geography,Medium,True / False,You could walk from Norway to North Korea while only passing through Russia.,True,False,,
38,Vehicles,Medium,True / False,The Chevrolet Corvette has always been made exclusively with V8 engines only.,False,True,,
39,Entertainment: Video Games,Medium,Multiple Choice,"In Minecraft, which of these ingredients is needed to brew a Potion of Water Breathing?",Pufferfish,Ink sac,Pumpkin,Fishing rod
40,Entertainment: Video Games,Medium,True / False,"In ""Call Of Duty: Zombies"", you can upgrade the ""Apothicon Servant"" in the ""Shadows Of Evil"" map.",False,True,,
41,Entertainment: Video Games,Medium,Multiple Choice,"In ""Overwatch"", how much health does Roadhog's ""Take a Breather"" ability recover?",300,100,200,400
